doc_id,item,category,amount,price,discount
97b0N49JOj,bread,bakery,2,49,2.45
jISZmpeAyo,tomato,vegetables,1,149,0.0
jISZmpeAyo,potato,vegetables,1,29,0.0
jISZmpeAyo,tea,beverages,1,89,8.9
jISZmpeAyo,skyrim,gaming,1,1499,0.0
jISZmpeAyo,oil,groceries,4,119,17.849999999999998
jISZmpeAyo,pork,meat,3,449,0.0
jISZmpeAyo,milk,dairy,3,69,3.45
6YqfUJapFb,sugar,groceries,1,69,10.35
6YqfUJapFb,bread,bakery,2,49,2.45
6YqfUJapFb,skyrim,gaming,2,1499,149.9
q9W4C4CPbB,butter,dairy,2,129,6.45
q9W4C4CPbB,potato,vegetables,1,29,4.35
q9W4C4CPbB,chicken,meat,1,399,0.0
q9W4C4CPbB,oil,groceries,3,119,0.0
xznyQDdcCp,chicken,meat,4,399,39.900000000000006
xznyQDdcCp,potato,vegetables,1,29,0.0
xznyQDdcCp,bread,bakery,5,49,7.35
xznyQDdcCp,milk,dairy,4,69,0.0
xznyQDdcCp,tomato,vegetables,4,149,14.9
xznyQDdcCp,oil,groceries,5,119,5.95
