doc_id,item,category,amount,price,discount
FvNbXe3Ywv,milk,dairy,3,69,10.35
FvNbXe3Ywv,chicken,meat,1,399,0.0
FvNbXe3Ywv,skyrim,gaming,4,1499,299.8
FvNbXe3Ywv,onion,vegetables,2,29,0.0
FvNbXe3Ywv,pasta,groceries,5,69,0.0
FvNbXe3Ywv,oil,groceries,5,119,0.0
FvNbXe3Ywv,tomato,vegetables,4,149,0.0
FvNbXe3Ywv,pork,meat,2,449,67.35
FvNbXe3Ywv,sugar,groceries,1,69,6.9
FvNbXe3Ywv,bread,bakery,1,49,0.0
FvNbXe3Ywv,cereals,cereals,2,59,5.9
FvNbXe3Ywv,eggs,dairy,1,109,16.349999999999998
FvNbXe3Ywv,butter,dairy,1,129,0.0
FvNbXe3Ywv,fish,seafood,2,499,0.0
N4xuFP3Bjk,potato,vegetables,4,29,1.4500000000000002
N4xuFP3Bjk,pork,meat,3,449,0.0
N4xuFP3Bjk,eggs,dairy,4,109,5.45
N4xuFP3Bjk,pasta,groceries,5,69,0.0
N4xuFP3Bjk,cereals,cereals,4,59,0.0
N4xuFP3Bjk,butter,dairy,4,129,0.0
N4xuFP3Bjk,milk,dairy,3,69,6.9
N4xuFP3Bjk,tea,beverages,3,89,0.0
N4xuFP3Bjk,fish,seafood,3,499,0.0
N4xuFP3Bjk,skyrim,gaming,3,1499,0.0
N4xuFP3Bjk,oil,groceries,1,119,5.95
N4xuFP3Bjk,onion,vegetables,4,29,0.0
N4xuFP3Bjk,tomato,vegetables,4,149,22.349999999999998
N4xuFP3Bjk,bread,bakery,2,49,7.35
