doc_id,item,category,amount,price,discount
smAmxooGKQ,sugar,groceries,2,69,3.45
smAmxooGKQ,cereals,cereals,4,59,0.0
smAmxooGKQ,butter,dairy,3,129,0.0
smAmxooGKQ,pasta,groceries,3,69,0.0
smAmxooGKQ,fish,seafood,4,499,99.80000000000001
smAmxooGKQ,oil,groceries,2,119,0.0
smAmxooGKQ,milk,dairy,3,69,0.0
smAmxooGKQ,onion,vegetables,1,29,0.0
KPijX18xpR,chicken,meat,3,399,19.950000000000003
KPijX18xpR,pork,meat,3,449,0.0
KPijX18xpR,potato,vegetables,1,29,0.0
KPijX18xpR,skyrim,gaming,2,1499,149.9
KPijX18xpR,sugar,groceries,3,69,3.45
KPijX18xpR,butter,dairy,2,129,6.45
KPijX18xpR,eggs,dairy,5,109,0.0
KPijX18xpR,cereals,cereals,1,59,0.0
KPijX18xpR,fish,seafood,4,499,74.85
KPijX18xpR,oil,groceries,1,119,17.849999999999998
KPijX18xpR,milk,dairy,3,69,6.9
KPijX18xpR,tea,beverages,3,89,0.0
KPijX18xpR,onion,vegetables,1,29,0.0
pMBX7DFij9,skyrim,gaming,1,1499,74.95
pMBX7DFij9,tomato,vegetables,2,149,0.0
pMBX7DFij9,fish,seafood,1,499,74.85
pMBX7DFij9,cereals,cereals,1,59,0.0
pMBX7DFij9,pasta,groceries,5,69,3.45
pMBX7DFij9,onion,vegetables,4,29,0.0
pMBX7DFij9,potato,vegetables,1,29,0.0
pMBX7DFij9,tea,beverages,1,89,13.35
pMBX7DFij9,oil,groceries,2,119,0.0
pMBX7DFij9,pork,meat,4,449,0.0
pMBX7DFij9,sugar,groceries,4,69,0.0
pMBX7DFij9,milk,dairy,1,69,6.9
pMBX7DFij9,bread,bakery,3,49,0.0
pMBX7DFij9,chicken,meat,2,399,0.0
pMBX7DFij9,butter,dairy,4,129,0.0
aQ7DimrKYB,fish,seafood,3,499,24.950000000000003
aQ7DimrKYB,chicken,meat,1,399,39.900000000000006
aQ7DimrKYB,bread,bakery,1,49,2.45
aQ7DimrKYB,tea,beverages,1,89,0.0
a5JZbSudhN,eggs,dairy,5,109,0.0
a5JZbSudhN,pasta,groceries,1,69,3.45
a5JZbSudhN,oil,groceries,2,119,5.95
a5JZbSudhN,bread,bakery,5,49,2.45
a5JZbSudhN,onion,vegetables,2,29,0.0
a5JZbSudhN,fish,seafood,4,499,0.0
a5JZbSudhN,potato,vegetables,1,29,2.9000000000000004
